"questions","answers","A","B","C","D","full_sentence"
"The meeting was _____ to order at 9:30 a.m.","called","given","made","called","taken","The meeting was called to order at 9:30 a.m."
"A newspaper _____ us in touch with the world.","keeps","keeps","gets","makes","has","A newspaper keeps us in touch with the world."
"Promoting _____ growth is much harder.","sustainable","sustain","sustention","sustaining","sustainable","Promoting sustainable growth is much harder."
"Shipping is free _____ you order more than two collections.","if","that","for","if","depending","Shipping is free if you order more than two collections."
"Nuclear power is not a _____ source of energy.","sustainable","obtainable","containable","maintainable","sustainable","Nuclear power is not a sustainable source of energy."
"The local community has mobilized very quickly, and the first shipment of clothing and blankets is due _____ Bolton this afternoon.","to leave","leave","to leave","leaving","left","The local community has mobilized very quickly, and the first shipment of clothing and blankets is due to leave Bolton this afternoon."
"The flooding will, of course, mean _____ reparations for both infrastructure and people's houses and valuables.","costly","cost","to cost","costing","costly","The flooding will, of course, mean costly reparations for both infrastructure and people's houses and valuables."
"_____ these market signals, policy holders continue to demonstrate inappropriate behavior as regards fire prevention.","Despite","Despite","Even though","While","As","Despite these market signals, policy holders continue to demonstrate inappropriate behavior as regards fire prevention."
"If you have any other questions, please feel free _____ us at any time before and during the conference.","to contact","contact","to contact","contacting","contacted","If you have any other questions, please feel free to contact us at any time before and during the conference."
"Recently, China unleashed multiple moves to support its markets and prevent its currency from a free fall, while at the same time _____ to stimulate the economy.","trying","tries","to try","trying","tried","Recently, China unleashed multiple moves to support its markets and prevent its currency from a free fall, while at the same time trying to stimulate the economy."
"Before deciding, you should consider your investment _____, risk tolerance and your level of experience on these products.","objectives","adjectives","subjectives","objectives","perspectives","Before deciding, you should consider your investment objectives, risk tolerance and your level of experience on these products."
"On the other hand, the energy sector has certainly _____ the US economy since the financial crisis and has created lots of high paying jobs with wonderful multiplier effects.","boosted","neutralized","dampened","fluctuated","boosted","On the other hand, the energy sector has certainly boosted the US economy since the financial crisis and has created lots of high paying jobs with wonderful multiplier effects."
"As soon as day _____ we left for New York.","broke","rose","risen","broke","lighted","As soon as day broke we left for New York."
"Like other insectivorous plants, sundews grow well in bogs and swamps _____ there is little nitrogen in the soil.","where","which","where","of which","in which","Like other insectivorous plants, sundews grow well in bogs and swamps where there is little nitrogen in the soil."
"The aurora is a common feature of the planet earth and appears along two oval belts _____ the aurora ovals.","called","call","to call","calling","called","The aurora is a common feature of the planet earth and appears along two oval belts called the aurora ovals."
"Understandably, companies reduced work forces further to reduce costs and brace themselves against what is expected to be a _____ year.","gruelling","gruel","to gruel","gruelling","grueled","Understandably, companies reduced work forces further to reduce costs and brace themselves against what is expected to be a gruelling year."
"By _____ in the commercial property area, we have gained an expertise in every conceivable form of transaction and have built a list of clients from New York to California.","specializing","specializing","consisting","giving","ushering","By specializing in the commercial property area, we have gained an expertise in every conceivable form of transaction and have built a list of clients from New York to California."
"Our publication, ""How To Improve Your Image Through Writing"", offers the reader the opportunity to _____ the good letter with the bad.","compare","distinguish","compare","associate","accustom","Our publication, ""How To Improve Your Image Through Writing"", offers the reader the opportunity to compare the good letter with the bad."
"When your future plans _____ for a bus or a van, please give us a call and let us show you what we can do for you.","call","demand","account","call","answer","When your future plans call for a bus or a van, please give us a call and let us show you what we can do for you."
"Strikingly, India ranked 29 out of 30 countries in the 2015 Global Intellectual Property Center index, which _____ commitment to innovation via IP protection efforts.","measures","measures","approaches","delivers","provides","Strikingly, India ranked 29 out of 30 countries in the 2015 Global Intellectual Property Center index, which measures commitment to innovation via IP protection efforts."
"By their next anniversary, they _____ married 20 years.","will have been","will have been","have been","will be","would have","By their next anniversary, they will have been married 20 years."
"The Assistant Manager is a position that reports to the Airport Director and is _____ for both airside and landside operations.","responsible","responsible","famous","eligible","available","The Assistant Manager is a position that reports to the Airport Director and is responsible for both airside and landside operations."
"Some unforeseen incident came up the other day and forced me to _____ our meeting.","cancel","record","cancel","plan","finance","Some unforeseen incident came up the other day and forced me to cancel our meeting."
"If you would like _____ your free sample of our mineral springs water, please mail your information request card to us today.","to receive","receive","to receive","receiving","reception","If you would like to receive your free sample of our mineral springs water, please mail your information request card to us today."
"All the neighbors commented on how strange it was _____ the Smiths to have ever chosen so ugly a color to paint the house.","for","of","for","with","as","All the neighbors commented on how strange it was for the Smiths to have ever chosen so ugly a color to paint the house."
"TruGreen is a _____ in the service industry and we have a career opportunity for an ambitious, team-oriented professional who wants to learn to manage one of our lawn care operations.","leader","lead","to lead","leading","leader","TruGreen is a leader in the service industry and we have a career opportunity for an ambitious, team-oriented professional who wants to learn to manage one of our lawn care operations."
"Harrisburg, a transportation center in the days of riverboat traffic, has been Pennsylvania's capital _____ 1812.","since","since","from","until","after","Harrisburg, a transportation center in the days of riverboat traffic, has been Pennsylvania's capital since 1812."
"The Olympic Games, first celebrated in Athens in 1896, have been held _____ four years so far this century, except during the two world wars.","every","every","each","all","both","The Olympic Games, first celebrated in Athens in 1896, have been held every four years so far this century, except during the two world wars."
"He said that he had better _____ for the States.","be leaving","to leave","leaving","be leaving","left","He said that he had better be leaving for the States."
"One of the _____ deals about the therapy is that it could be broadly applied to many different diseases.","big","big","large","great","gigantic","One of the big deals about the therapy is that it could be broadly applied to many different diseases."
"Our firm recently received an extremely favorable review from The Forbes, which we hope may be _____ some interest to you.","of","for","with","to","of","Our firm recently received an extremely favorable review from The Forbes, which we hope may be of some interest to you."
"Since we do not represent any individual computer hardware manufacturer, the products that we carry are _____ with many systems.","compatible","compatible","comparable","comfortable","commutable","Since we do not represent any individual computer hardware manufacturer, the products that we carry are compatible with many systems."
"If the United States had built more homes for poor people in 1955, the housing problems now in some parts of this country _____ so serious.","wouldn't be","wouldn't be","wouldn’t have been","cannot be","must not have been","If the United States had built more homes for poor people in 1955, the housing problems now in some parts of this country wouldn't be so serious."
"Ashley Furniture has been serving its community with furniture since 1945. We provide quality furniture at _____ prices and great customer service.","affordable","affordable","exorbitant","available","sustainable","Ashley Furniture has been serving its community with furniture since 1945. We provide quality furniture at affordable prices and great customer service."
"Unfortunately, the city was not able to extend the deadline for us. We filed for an _____ late last year but it was turned down by the city board.","extension","extension","invoice","funding","location","Unfortunately, the city was not able to extend the deadline for us. We filed for an extension late last year but it was turned down by the city board."
"I don't know if you know but I was called down to our warehouse that day to deal with an _____ matter.","urgent","urgent","urge","urgency","urger","I don't know if you know but I was called down to our warehouse that day to deal with an urgent matter."
"The instruction pamphlet says never to open the radio; in fact, it suggests always having a technician _____ it.","service","service","to service","servicing","serviced","The instruction pamphlet says never to open the radio; in fact, it suggests always having a technician service it."
"62% of black working-age households have no assets in a retirement account, _____ with just 37% of white households.","compared","comparing","to compare","compared","comparison","62% of black working-age households have no assets in a retirement account, compared with just 37% of white households."
"Minority households tend to invest in lower-return assets _____ housing, and also tend to borrow at high interest rates.","such as","in case of","by way of","concerning","such as","Minority households tend to invest in lower-return assets such as housing, and also tend to borrow at high interest rates."
"Bill Gates is wealthy because he was able to establish _____ rights over his software, with the help of his father, a lawyer.","property","property","propriety","prosperity","propensity","Bill Gates is wealthy because he was able to establish property rights over his software, with the help of his father, a lawyer."
"On the political side, the battle with communism was won, but it was the financial side of world affairs _____ marked the downfall of the U.S.","that","that","what","to have","to take","On the political side, the battle with communism was won, but it was the financial side of world affairs that marked the downfall of the U.S."
"Jean's uncle insisted that _____ in this hotel.","he not stay","not staying","not to stay","he not stay","staying not","Jean's uncle insisted that he not stay in this hotel."
"If you come late once more, I will have to _____ you.","fire","fire","hire","promote","improve","If you come late once more, I will have to fire you."
"They all _____ each other.","resemble","resemble as","resemble with","resemble","resemble from","They all resemble each other."
"Please _____ your seat belt. The plane is going to take off.","fasten","embrace","grip","fasten","catch","Please fasten your seat belt. The plane is going to take off."
"Around 86% of smart phones in Russia are powered by Android, which limits Yandex's ability _____ with Google in the mobile market.","to compete","compete","to compete","competing","competition","Around 86% of smart phones in Russia are powered by Android, which limits Yandex's ability to compete with Google in the mobile market."
"Recently, researchers at the Defense Advanced Research Projects Agency _____ an array of small electrodes into the region of the brain that controls movement in a woman who is paralyzed.","implanted","implanted","transfused","intermediated","injected","Recently, researchers at the Defense Advanced Research Projects Agency implanted an array of small electrodes into the region of the brain that controls movement in a woman who is paralyzed."
"World Magazine is also a great gift for the holidays at a very _____ price.","affordable","credible","effable","sustainable","affordable","World Magazine is also a great gift for the holidays at a very affordable price."
"Scientists have concluded that sunspots _____ rainfall and general weather conditions.","affect","affect","effect","affecting","effecting","Scientists have concluded that sunspots affect rainfall and general weather conditions."
"If the problem _____ out to be a minor adjustment, we shall make the repair and be sure to return the product to you within thirty days.","turns","takes","proves","turns","makes","If the problem turns out to be a minor adjustment, we shall make the repair and be sure to return the product to you within thirty days."
"The quality of education _____ elementary school through college has become a subject of special interest in recent years.","from","from","during","for","within","The quality of education from elementary school through college has become a subject of special interest in recent years."
"When the Civil War ended traffic on the Mississippi River, Mark Twain left his job _____ a river pilot and moved to Carson City.","as","from","by","as","for","When the Civil War ended traffic on the Mississippi River, Mark Twain left his job as a river pilot and moved to Carson City."
"The Russians serve tea in glasses _____ cups and sweeten the beverage with a spoonful of jam or a lump of sugar.","instead of","by way of","in return for","such as","instead of","The Russians serve tea in glasses instead of cups and sweeten the beverage with a spoonful of jam or a lump of sugar."
"Scientists know very little about the drug's long-term effects, _____ it has been on the market for only two years.","since","supposing","while","since","even though","Scientists know very little about the drug's long-term effects, since it has been on the market for only two years."
"Molds cannot produce their own food _____ their nourishment from living on dead organic matter or another living matter.","but obtain","obtain","obtaining","but obtain","is obtained","Molds cannot produce their own food but obtain their nourishment from living on dead organic matter or another living matter."
"Analysts yesterday questioned whether any _____ would want to acquire the whole company at a time of economic uncertainty.","suitor","mentor","curator","realtor","suitor","Analysts yesterday questioned whether any suitor would want to acquire the whole company at a time of economic uncertainty."
"The controversial legislation reinterprets Article 9 of the Japanese constitution, which outlaws war as a means of settling international _____.","disputes","conferences","communications","trades","disputes","The controversial legislation reinterprets Article 9 of the Japanese constitution, which outlaws war as a means of settling international disputes."
"Also, if you sign up a friend for an _____ subscription, you will receive a free pullover from Golf World magazine.","additional","additional","adding","addition","adds","Also, if you sign up a friend for an additional subscription, you will receive a free pullover from Golf World magazine."
"Each man and woman had to _____ in the test booklet and answer sheet before going out of the testing center.","hand","give","hand","result","submit","Each man and woman had to hand in the test booklet and answer sheet before going out of the testing center."
"Earlier this month, China _____ its largest military parade ever to celebrate 70 years since Japan's World War II defeat.","staged","engaged","staged","instructed","indicated","Earlier this month, China staged its largest military parade ever to celebrate 70 years since Japan's World War II defeat."
"Japan's Ministry of Defense _____ a 5.09 trillion yen ($41.7 billion) request for budget allocations for the coming fiscal year, a 2.2% increase from 2015.","submitted","submitted","transmitted","omitted","emitted","Japan's Ministry of Defense submitted a 5.09 trillion yen ($41.7 billion) request for budget allocations for the coming fiscal year, a 2.2% increase from 2015."
"Apple will ask the U.S. Supreme Court to _____ a federal judge's finding that it conspired to fix the prices of e-books when it launched its original iPad and iBook store in January 2010.","overturn","overturn","overlook","oversee","overwhelm","Apple will ask the U.S. Supreme Court to overturn a federal judge's finding that it conspired to fix the prices of e-books when it launched its original iPad and iBook store in January 2010."
"Russian military spending is now approaching 10 percent of its GDP, and China has made a similar commitment to spending on _____.","armaments","investment","budget","infrastructure","armaments","Russian military spending is now approaching 10 percent of its GDP, and China has made a similar commitment to spending on armaments."
"Computer Sciences Corp. offers a complete and diverse line of computer software packages for _____ personal and business application.","both","both","between","either","each","Computer Sciences Corp. offers a complete and diverse line of computer software packages for both personal and business application."
"_____ knows just when pantomime began.","No one","Every","All","No one","Both","No one knows just when pantomime began."
"In 1868, with the publication of the first volume of Little Women, Louisa May Alcott became a _____ writer.","celebrated","celebrate","celebration","celebrating","celebrated","In 1868, with the publication of the first volume of Little Women, Louisa May Alcott became a celebrated writer."
"One of the puzzles _____ biologists is how cells know what to become in embryo.","mystifying","mystify","mystification","mystifying","mystified","One of the puzzles mystifying biologists is how cells know what to become in embryo."
"Japan sees robots as a potential solution to its rapidly aging society, _____ the number of citizens aged 65 and above hitting a record-high 32 million in October 2013.","with","with","while","as","for","Japan sees robots as a potential solution to its rapidly aging society, with the number of citizens aged 65 and above hitting a record-high 32 million in October 2013."
"The Route Service Manager is responsible for managing, planning, and administrating the daily operational functions of the branch _____ the most cost-effective and customer-satisfying manner.","in","in","on","by","with","The Route Service Manager is responsible for managing, planning, and administrating the daily operational functions of the branch in the most cost-effective and customer-satisfying manner."
"Our goal is to find a person who is a team player and _____ the creative vision to advance the Agency's services.","possesses","possesses","proceeds","processes","precedes","Our goal is to find a person who is a team player and possesses the creative vision to advance the Agency's services."
"Someone who has the interpersonal skills and the ability to easily relate and adjust to a variety of situations and personalities would _____ in our organization.","thrive","recommend","apply","suggest","thrive","Someone who has the interpersonal skills and the ability to easily relate and adjust to a variety of situations and personalities would thrive in our organization."
"You want to join a growing, aggressive and dynamic company that _____ success and challenges you to grow.","rewards","awards","rewards","forwards","upwards","You want to join a growing, aggressive and dynamic company that rewards success and challenges you to grow."
"_____ satire is often comic, its object is to evoke not mere laughter but laughter for a corrective purpose.","Although","Since","As far as","Although","Each","Although satire is often comic, its object is to evoke not mere laughter but laughter for a corrective purpose."
"Worse still, Shell continues to pollute and flare gas with impunity in the Niger Delta, poisoning land and _____ locals.","aggravating","alleviating","congregating","aggregating","aggravating","Worse still, Shell continues to pollute and flare gas with impunity in the Niger Delta, poisoning land and aggravating locals."
"Thereafter prices will stabilize and will remain stagnant until around 2014 allowing them to become more _____ before again prices begin to rise.","affordable","affordable","convertible","dependable","feasible","Thereafter prices will stabilize and will remain stagnant until around 2014 allowing them to become more affordable before again prices begin to rise."
"The company will also revamp 700 smaller stores, including _____ its pharmacy service.","enhancing","encroaching","endorsing","enhancing","encompassing","The company will also revamp 700 smaller stores, including enhancing its pharmacy service."
"Demand for gold will also _____ as pension funds, sovereign funds and other asset managers seek to preserve their wealth against inflation.","rise","rise","arise","arouse","raise","Demand for gold will also rise as pension funds, sovereign funds and other asset managers seek to preserve their wealth against inflation."
"Many of those who fiercely _____ reduced immigration and much tighter public spending controls - not least on immigrants - have rallied to a cause.","advocate","speculate","discern","advocate","conspire","Many of those who fiercely advocate reduced immigration and much tighter public spending controls - not least on immigrants - have rallied to a cause."
"Its Sugar division performed well but its Grocery division was _____ affected by high priced contracts in US corn oil.","adversely","frankly","fortunately","adversely","favorably","Its Sugar division performed well but its Grocery division was adversely affected by high priced contracts in US corn oil."
"Barratt and Priceless were placed into administration last month after trading _____ rapidly amid the economic downturn.","deteriorated","proliferated","deteriorated","ameliorated","eliminated","Barratt and Priceless were placed into administration last month after trading deteriorated rapidly amid the economic downturn."
"While we were standing at a road side, an airplane flew over our heads with a deafening _____.","roar","roar","soar","boar","oar","While we were standing at a road side, an airplane flew over our heads with a deafening roar."
"Hurry up, _____ you will miss the train.","or","or","but","then","and","Hurry up, or you will miss the train."
"_____ I go and bring you some coffee?","Shall","Will","Shall","Should","Would","Shall I go and bring you some coffee?"
"Mary wishes _____ buy a new apartment.","she could","she could","her","to have found","she can","Mary wishes she could buy a new apartment."
"This small dog acts as if it were _____ with intestinal parasite.","afflicted","afflicted","inflicted","conflicted","proliferated","This small dog acts as if it were afflicted with intestinal parasite."
"Moreover, they do not take into _____ losses associated with the various bailouts of the financial system.","account","account","calculation","summary","conclusion","Moreover, they do not take into account losses associated with the various bailouts of the financial system."
"The company has _____ a number of financial sector heavyweights to help it oversee a move into mainstream banking.","recruited","recruited","dismissed","operated","sacked","The company has recruited a number of financial sector heavyweights to help it oversee a move into mainstream banking."
"A 62-year-old man was arrested on _____ of being aviation staff performing an aviation function after exceeding the prescribed alcohol limit.","suspicion","condition","behalf","doubt","suspicion","A 62-year-old man was arrested on suspicion of being aviation staff performing an aviation function after exceeding the prescribed alcohol limit."
"Men have been affected more than women because they _____ the industries that have been hit hardest by the downturn.","dominate","dominate","comprise","include","appoint","Men have been affected more than women because they dominate the industries that have been hit hardest by the downturn."
"Shorter-term speculation is much riskier, as _____ by research from Fidelity Investments, the biggest unit trust manager in the world.","demonstrated","demonstrated","analyzed","deserved","pronounced","Shorter-term speculation is much riskier, as demonstrated by research from Fidelity Investments, the biggest unit trust manager in the world."
"Standard Life acknowledged that the watchdog was examining all aspects of the business to ensure policyholders' interests were being _____.","protected","impaired","breached","protected","imposed","Standard Life acknowledged that the watchdog was examining all aspects of the business to ensure policyholders' interests were being protected."
"Nearly 600 million euros of public money was spent last year _____ promoting bullfights, subsidizing local fiestas, and maintaining bullfighting schools.","on","in","on","for","with","Nearly 600 million euros of public money was spent last year on promoting bullfights, subsidizing local fiestas, and maintaining bullfighting schools."
"Often these are accompanied by incentives _____ welcome packs, free money boxes or magazines.","like","like","which","as good as","instead of","Often these are accompanied by incentives like welcome packs, free money boxes or magazines."
"Mr. Greenspan is _____ about the widespread, if not, global abuse of intellectual property rested in patents and copyrights.","concerned","concern","concerning","concerned","to concern","Mr. Greenspan is concerned about the widespread, if not, global abuse of intellectual property rested in patents and copyrights."
"I hope the film does well and _____ its aim of increasing awareness of the effects of over-fishing.","accomplishes","accomplishes","ascribes","astonishes","allows","I hope the film does well and accomplishes its aim of increasing awareness of the effects of over-fishing."
"Many people are dependent upon sleeping pills, amphetamines and other means to _____ the illusion of contented life.","obtain","contain","detain","obtain","pertain","Many people are dependent upon sleeping pills, amphetamines and other means to obtain the illusion of contented life."
"The Centers for Disease Control and Prevention (CDC) _____ that each year roughly 48 million Americans get sick, 128,000 are hospitalized, and 3,000 die of foodborne diseases.","estimates","estimates","proposes","circulates","allows","The Centers for Disease Control and Prevention (CDC) estimates that each year roughly 48 million Americans get sick, 128,000 are hospitalized, and 3,000 die of foodborne diseases."
"We have cocoa but we help them to produce good cocoa without _____ the natural environment and improving the productivity.","destroying","destroy","to destroy","destroying","destruction","We have cocoa but we help them to produce good cocoa without destroying the natural environment and improving the productivity."
"While it's not exactly an app you can delete and reinstall, you can clear your old texts, which may be _____ up massive amounts of storage space on your phone.","taking","putting","giving","taking","making","While it's not exactly an app you can delete and reinstall, you can clear your old texts, which may be taking up massive amounts of storage space on your phone."
"Students in the bottom 25% of family income will surely pay less at wealthy private schools, where financial aid is _____, than at state universities.","substantial","subliminal","superficial","sustainable","substantial","Students in the bottom 25% of family income will surely pay less at wealthy private schools, where financial aid is substantial, than at state universities."
"I am very happy _____ to you that we have finally won the rights for the Maynard Park Project.","to announce","announce","to announce","announcing","announcement","I am very happy to announce to you that we have finally won the rights for the Maynard Park Project."
"Costing an estimated $5.6 billion, the 1,600 km pipeline would _____ 8 trillion cubic meters over a 20 year period.","transport","export","evaporate","transport","produce","Costing an estimated $5.6 billion, the 1,600 km pipeline would transport 8 trillion cubic meters over a 20 year period."
"To make this pressing deadline, we are asking all team members to focus all of their energy on getting this project completed _____ whatever work you currently have.","more than","more than","as","in spite of","such as","To make this pressing deadline, we are asking all team members to focus all of their energy on getting this project completed more than whatever work you currently have."
"_____ one of our valued customers, your satisfaction is one of our primary concerns. Please accept our apology.","As","As","With","By","For","As one of our valued customers, your satisfaction is one of our primary concerns. Please accept our apology."
"Among the most _____ of common metals, lead was valued and widely used in ancient times.","versatile","versatile","volatile","voluble","veritable","Among the most versatile of common metals, lead was valued and widely used in ancient times."
"Authorities have found that the addition of antibiotics to livestock fodder can make humans _____ to drugs.","immune","immune","immunity","to immune","immunizing","Authorities have found that the addition of antibiotics to livestock fodder can make humans immune to drugs."
"Commercial woodlands are _____ as property where timber from the forest is actively being marketed and sold.","defined","presented","measured","defined","purchased","Commercial woodlands are defined as property where timber from the forest is actively being marketed and sold."
"Newspaper and magazine readership figures - which advertisers place more importance on than sales - are _____ from interviews with consumers.","derived","derived","included","added","suffered","Newspaper and magazine readership figures - which advertisers place more importance on than sales - are derived from interviews with consumers."
"Ultimately, all public debt becomes the _____ of the private sector - manifested in rising taxation, a weakening currency and inflation.","liability","liability","asset","validity","utility","Ultimately, all public debt becomes the liability of the private sector - manifested in rising taxation, a weakening currency and inflation."
"First acclaimed for his realistic portraits, John Sargent was later recognized for his _____ watercolors.","impressionistic","impression","impressible","impressionistic","impressionism","First acclaimed for his realistic portraits, John Sargent was later recognized for his impressionistic watercolors."
"_____ economies are establishing their own economic policies and trading patterns outside of the influence of industrialized economies.","Emerging","Merging","Emerging","Submerging","Immerging","Emerging economies are establishing their own economic policies and trading patterns outside of the influence of industrialized economies."
"Government leaders are attending the three-day summit to try and generate solutions to the _____ cost of commodities.","plummeting","spiraling","plummeting","sprawling","plunging","Government leaders are attending the three-day summit to try and generate solutions to the plummeting cost of commodities."
"The Democratic candidates want to raise the minimum wage and widen the safety net, _____ Republicans want to spur job creation by lowering taxes and shedding regulations.","while","while","for example","so","provided that","The Democratic candidates want to raise the minimum wage and widen the safety net, while Republicans want to spur job creation by lowering taxes and shedding regulations."
"As I had _____ reading the newspaper, I began to think about the terrible accident.","finished","intended","finished","refused","managed","As I had finished reading the newspaper, I began to think about the terrible accident."
"According to a recent McKinsey study, an average person spends 13 hours a week reading and replying to emails, a completely reactive activity, which is not part of anyone's job _____.","description","description","prescription","conscription","inscription","According to a recent McKinsey study, an average person spends 13 hours a week reading and replying to emails, a completely reactive activity, which is not part of anyone's job description."
"You can be _____ that this year's conference is the best place in the country for you to exhibit your merchandise.","assured","assured","assuredly","assure","assuring","You can be assured that this year's conference is the best place in the country for you to exhibit your merchandise."
"If you don't _____ waiting for ten minutes or so, I'll be able to see you at the lobby.","mind","intend","refuse","mind","consider","If you don't mind waiting for ten minutes or so, I'll be able to see you at the lobby."
"A woman can breastfeed in public discreetly _____ she has the right clothing, with appropriate nursing access.","if","that","so","however","if","A woman can breastfeed in public discreetly if she has the right clothing, with appropriate nursing access."
"If any retailer is caught _____ cigarettes to under-age children three times, they will not be allowed to continue retailing.","selling","sell","sale","selling","sold","If any retailer is caught selling cigarettes to under-age children three times, they will not be allowed to continue retailing."
"In fact, with the S&P now no higher than in the last five months, we argue that the market is losing momentum and is now more _____ than since 2011.","vulnerable","vulnerable","competent","predictable","considerable","In fact, with the S&P now no higher than in the last five months, we argue that the market is losing momentum and is now more vulnerable than since 2011."
"As a result of this outcome, we will need _____ the entire project a full month before we had initially planned.","to finish","finish","to finish","finishing","finished","As a result of this outcome, we will need to finish the entire project a full month before we had initially planned."
"If you _____, please mail this package.","are able to","are capable to do","were able to do","are able to","can be able to","If you are able to, please mail this package."
"The workers _____ the cargo from the ship.","discharged","dispersed","dismissed","discharged","dismissed","The workers discharged the cargo from the ship."
"She has _____ knowledge of ancient Chinese history.","extensive","extensive","intensive","perspective","inspective","She has extensive knowledge of ancient Chinese history."
"The teacher had me _____ scales several times a day.","play","play","to play","played","playing","The teacher had me play scales several times a day."
"If they choose to spend this windfall on domestic consumption, then there is very good reason _____ the US economy will continue to muddle through quite nicely.","to believe","believe","to believe","believing","believed","If they choose to spend this windfall on domestic consumption, then there is very good reason to believe the US economy will continue to muddle through quite nicely."
"There were so many reporters at the main gate, _____ were waiting for his arrival.","who","who","that","which","where","There were so many reporters at the main gate, who were waiting for his arrival."
"The movie producer was considering doing another film, _____ the last one was a disaster.","even though","In spite of","otherwise","only if","even though","The movie producer was considering doing another film, even though the last one was a disaster."
"The drawing of a will may not be something we look forward to, but the _____ of one can create an incredible hardship on our loved ones.","absence","presence","reference","incidence","absence","The drawing of a will may not be something we look forward to, but the absence of one can create an incredible hardship on our loved ones."
"The Washington Post is now reportedly _____ content for users who block their ads, forcing them to sign up for a newsletter or subscribe to the site instead.","restricting","serving","endorsing","restricting","promoting","The Washington Post is now reportedly restricting content for users who block their ads, forcing them to sign up for a newsletter or subscribe to the site instead."
"Two tables and two chairs are included in the price of the space, but if you need additional equipment, there will be an _____ fee.","extra","original","eligible","authentic","extra","Two tables and two chairs are included in the price of the space, but if you need additional equipment, there will be an extra fee."
"The Brooklyn Bridge was built in the 1880's, when growing industrialization _____ a transportation boom.","triggered","staggered","intrigued","triggered","stunted","The Brooklyn Bridge was built in the 1880's, when growing industrialization triggered a transportation boom."
"Clara Barton _____ the American National Red Cross in 1881 after serving in the International Red Cross in Europe.","founded","finds","found","was founded","founded","Clara Barton founded the American National Red Cross in 1881 after serving in the International Red Cross in Europe."
"X-rays are able to pass through objects and thus make _____ details that are otherwise impossible to observe.","visible","it visible","to visible","visible","they are visible","X-rays are able to pass through objects and thus make visible details that are otherwise impossible to observe."
"The competitiveness of cities is evaluated in five main categories _____ human resources, business environment, infrastructure, access to financial markets and general competitiveness.","such as","in case","as long as","as well as","such as","The competitiveness of cities is evaluated in five main categories such as human resources, business environment, infrastructure, access to financial markets and general competitiveness."
"The teacher told me that Francis had always enjoyed _____ English.","studying","studying","the study","to study","having study","The teacher told me that Francis had always enjoyed studying English."
"I would appreciate _____ it a secret.","your keeping","you to keep","your keeping","that you would keep","that you are keeping","I would appreciate your keeping it a secret."
"Thank you again for your booth reservation. The annual Comic Book Conference in Los Angeles is expecting more than 25,000 comic fans _____ this year.","to attend","attend","to attend","attending","attendance","Thank you again for your booth reservation. The annual Comic Book Conference in Los Angeles is expecting more than 25,000 comic fans to attend this year."
"The motor dealer wants to sell her cars quickly, so she's _____ special low prices.","offering","preferring","deferring","offering","conferring","The motor dealer wants to sell her cars quickly, so she's offering special low prices."
"Taiwan enjoys having some foreign money because of the lasting trade imbalance, _____, larger export and less import.","that is","however","on the other hand","that is","in fact","Taiwan enjoys having some foreign money because of the lasting trade imbalance, that is, larger export and less import."
"_____ built, with poor vision but excellent senses of smell and hearing, the bear will eat almost anything.","Heavily","It is heavily","Heavily","That it is heavily","When is it heavily","Heavily built, with poor vision but excellent senses of smell and hearing, the bear will eat almost anything."
"An accumulation of wax in the ear canal may immobilize the eardrum, _____ a partial loss of hearing.","causing","caused","are caused","causing","causes","An accumulation of wax in the ear canal may immobilize the eardrum, causing a partial loss of hearing."
"Inaugurated a second time on March, 4, 1901, William McKinley looked forward to a new term _____ on domestic rather than foreign policies.","focused","focus","focuses","focusing","focused","Inaugurated a second time on March, 4, 1901, William McKinley looked forward to a new term focused on domestic rather than foreign policies."
"Stepped-up consumer spending on autos and housing, and more investment by business, _____ for the spring bounce back.","accounted","accounted","answered","searched","compensated","Stepped-up consumer spending on autos and housing, and more investment by business, accounted for the spring bounce back."
"During the Middle Ages, to ensure good lucks, cats were often sealed alive in the walls of houses, convents, and public buildings, only _____ of suffocation.","to die","died","to die","dying","dead","During the Middle Ages, to ensure good lucks, cats were often sealed alive in the walls of houses, convents, and public buildings, only to die of suffocation."
"Prehistoric peoples had _____ caves to live in and a regular supply of water.","to find","find","to find","finding","found","Prehistoric peoples had to find caves to live in and a regular supply of water."
"In order to cope with the international market situation, the company will have to _____ some hard time.","undergo","undertake","underline","undergo","undermine","In order to cope with the international market situation, the company will have to undergo some hard time."
"The senator's legislative record was too liberal to please his constituents; _____, they did not like his choice of a running mate.","moreover","in other words","for example","moreover","however","The senator's legislative record was too liberal to please his constituents; moreover, they did not like his choice of a running mate."
"Treasury officials have privately indicated that they will not _____ to intervene if they discover that banks are behaving inappropriately.","hesitate","hesitate","ought","need","stop","Treasury officials have privately indicated that they will not hesitate to intervene if they discover that banks are behaving inappropriately."
"Demand for copper, particularly from China and India, has outstripped supply, which has been _____ by strikes and accidents.","hampered","augmented","reinforced","hampered","expanded","Demand for copper, particularly from China and India, has outstripped supply, which has been hampered by strikes and accidents."
"However, the optimistic economic forecasts are doubly significant in this case because higher growth means a lower _____.","deficit","utility","efficacy","deficit","productivity","However, the optimistic economic forecasts are doubly significant in this case because higher growth means a lower deficit."
"I hope the US comes to its senses and scraps these ill-conceived rules before they cause _____ damage.","irreparable","irresponsible","illogical","irresistible","irreparable","I hope the US comes to its senses and scraps these ill-conceived rules before they cause irreparable damage."
